phylum,class,order,family,genus,species,common name,study sample sex,study sample size,body mass (kg),metabolic rate (W),mass-specific metabolic rate (W/kg),brain size (kg),brain size - method
Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca mulatta,Rhesus Macaque,male,125,5.21,,,0.0907,brain weighed
Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca arctoides,Stump-tailed Macaque,female,27,7.45,,,0.0998,brain weighed
Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca arctoides,Stump-tailed Macaque,male,13,7.81,,,0.1016,brain weighed
Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,Olive Baboon,female,7,12.9,,,0.148,brain weighed
Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis,Olive Baboon,male,13,16.06,,,0.1747,brain weighed
Chordata,Mammalia,Rondentia,Muridae,Rattus,Rattus sp.,0,male,1,0.179,,,0.001537,brain weighed
Chordata,Mammalia,Rondentia,Muridae,Meriones,Meriones unguiculatus,Mongolian Jird,male,1,0.054,,,0.000968,brain weighed
Chordata,Mammalia,Rondentia,Muridae,Mus,Mus sp.,splitgill mushroom,male,1,0.024,,,0.000403,brain weighed
Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,Cryptoprocta ferox,Fossa,,1,9.5,,,0.03678,skull filling
Chordata,Mammalia,Carnivora,Herpestidae,Atilax,Atilax paludinosus,Marsh Mongoose,,4,3.3,,,0.02784,skull filling
Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes urva,Crab-eating Mongoose,,4,1.863,,,0.0223,skull filling
Chordata,Mammalia,Carnivora,Herpestidae,Paracynictis,Paracynictis selousi,Selous' Mongoose,,4,1.64,,,0.01673,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,Conepatus chinga,Molina's Hog-nosed Skunk,,2,1.918,,,0.01632,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Conepatus,Conepatus leuconotus,American Hog-nosed Skunk,,4,3.5,,,0.01852,skull filling
Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,Mephitis mephitis,Striped and Hooded Skunks,,10,1.7,,,0.01175,skull filling
Chordata,Mammalia,Carnivora,Mephitidae,Mydaus,Mydaus marchei,Palawan Stink-badger,,4,1.414,,,0.01487,skull filling
Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,Spilogale gracilis,Desert Spotted Skunk,,10,0.42,,,0.00681,skull filling
Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,Spilogale putorius,Alleghanian Spotted Skunk,,4,0.341,,,0.00733,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Galictis,Galictis cuja,Lesser Grison,,2,1,,,0.02352,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Ictonyx,Ictonyx striatus,Zorilla,,4,1.3,,,0.00817,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,Mellivora capensis,Ratel,,4,9,,,0.08604,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea,Eurasian Stoat,,10,0.156,,,0.00342,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Poecilogale,Poecilogale albinucha,Striped Weasel,,1,0.34,,,0.00456,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,American Badger,,10,6,,,0.056,skull filling
Chordata,Mammalia,Carnivora,Mustelidae,Vormela,Vormela peregusna,Marbled Polecat,,2,0.45,,,0.00653,skull filling
Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,Bassaricyon alleni,Eastern Lowland Olingo,,1,1.235,,,0.01937,skull filling
Chordata,Mammalia,Carnivora,Viverridae,Paguma,Paguma larvata,Masked Palm Civet,,4,4.3,,,0.02647,skull filling
Chordata,Mammalia,Carnivora,Viverridae,Viverra,Viverra tangalunga,Malay Civet,,4,10,,,0.02725,skull filling
Chordata,Mammalia,Cingulata,Chlamyphoridae,Euphractus,Euphractus sexcinctus,Six-banded Armadillo,,4,7.99,,,0.02137,skull filling
Chordata,Mammalia,Cingulata,Chlamyphoridae,Tolypeutes,Tolypeutes matacus,Southern Three-banded Armadillo,,2,1.2,,,0.00886,skull filling
Chordata,Mammalia,Cingulata,Chlamyphoridae,Zaedyus,Zaedyus pichiy,Pichi,,5,1.74,,,0.00798,skull filling
Chordata,Mammalia,Eulipotyphla,Erinaceidae,Atelerix,Atelerix albiventris,Four-toed Hedgehog,,4,0.28,,,0.00176,skull filling
Chordata,Mammalia,Eulipotyphla,Erinaceidae,Echinosorex,Echinosorex gymnura,Moonrat,,4,0.957,,,0.0055,skull filling
Chordata,Mammalia,Eulipotyphla,Erinaceidae,Mesechinus,Mesechinus dauuricus,Daurian Hedgehog,,2,0.342,,,0.0029,skull filling
Chordata,Mammalia,Pholidota,Manidae,Manis,Manis pentadactyla,Chinese Pangolin,,4,4.675,,,0.01764,skull filling
Chordata,Mammalia,Pholidota,Manidae,Manis,Manis tricuspis,White-bellied Pangolin,,4,2.067,,,0.0093,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Clyomys,Clyomys laticeps,Broad-headed Spiny Rat,,4,0.201,,,0.00352,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Echimys,Echimys chrysurus,White-faced Spiny Tree Rat,,2,0.652,,,0.00502,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Makalata,Makalata didelphoides,Brazilian Spiny Tree Rat,,3,0.108,,,0.00345,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Makalata,Makalata macrura,Long-tailed Spiny Tree Rat,,4,0.439,,,0.00389,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Mesomys,Mesomys hispidus,Ferreira's Spiny Tree Rat,,4,0.175,,,0.00264,skull filling
Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,Proechimys brevicauda,Huallaga Spiny Rat,,4,0.285,,,0.00295,skull filling
Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou prehensilis,Yellow Quill-tipped Porcupine,,4,4.4,,,0.01673,skull filling
Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou rothschildi,Andean Porcupine,,4,2,,,0.02085,skull filling
Chordata,Mammalia,Rodentia,Erethizontidae,Sphiggurus,Sphiggurus vestitus,Brown Hairy Dwarf Porcupine,,1,0.736,,,0.01171,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Atherurus,Atherurus macrourus,Asian Brush-tailed Porcupine,,6,2,,,0.03157,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix africaeaustralis,Cape Porcupine,,6,14.936,,,0.03571,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix brachyura,East Asian Porcupine,,3,8,,,0.03764,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix cristata,Crested Porcupine,,4,20,,,0.04955,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix indica,Indian Crested Porcupine,,5,14.65,,,0.04407,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix sumatrae,Sumatran Porcupine,,6,3.26,,,0.02704,skull filling
Chordata,Mammalia,Rodentia,Hystricidae,Trichys,Trichys fasciculata,Long-tailed Porcupine,,10,1.56,,,0.01305,skull filling
Chordata,Mammalia,Primates,Cebidae,Saguinus,Saguinus oedipus,Cotton-headed Tamarin,,1,0.32714,,,0.00964,
Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,Brown Bear,,1,131.02267,,,0.33597,
Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,Chimpanzee,,1,60.43316,,,0.35481,
Chordata,Mammalia,Primates,Cebidae,Saguinus,Saguinus geoffroyi,Geoffroy’s Tamarin,,1,0.63467,,,0.01427,
Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris,Roaring Cats,,1,195,,,0.26973,
Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Tamandua tetradactyla,Southern Tamandua,,1,4.361,,,0.0275,
Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo pygmaeus,Bornean Orangutan,,1,54.22904,,,0.34199,
Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates muelleri,North Bornean Gray Gibbon,,1,5.95488,,,0.09531,
Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates syndactylus,Siamang,,1,12.172,,,0.1348,
Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,Xanthoid Crabs,,1,120.975,,,0.45455,
Chordata,Mammalia,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,Bontebok/Blesbok,,1,62.5,,,0.2546,
Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Human,,1,65.14286,,,1.25043,
Chordata,Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,Rhynchocyon petersi,Black-and-rufous Sengi,,1,0.37,,,0.0054,
Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,Cercocebus agilis,Agile Mangabey,,1,4.7,,,0.0953,
Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,Mandrillus sphinx,Mandrill,,1,11.5,,,0.1592,
Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri boliviensis,Black-capped Squirrel Monkey,,1,0.75,,,0.02406,
Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus francoisi,François' Lutung,,1,9.1,,,0.0944,
Chordata,Mammalia,Primates,Cercopithecidae,Colobus,Colobus guereza,Mantled Guereza,,1,10.28125,,,0.0839,
Chordata,Mammalia,Primates,Cercopithecidae,Colobus,Colobus angolensis,Angola Colobus,,1,9.67,,,0.0744,
Chordata,Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus eurycerus,Bongo,,1,253,,,0.389,
Chordata,Mammalia,Primates,Tarsiidae,Tarsius,Tarsius bancanus,Horsfield's Tarsier,,1,0.0776,,,0.0027,
Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus pygmaeus,Pygmy Slow Loris,,1,0.48,,,0.0078,
Chordata,Mammalia,Xenarthra,Megalonychidae,Choloepus,Choloepus didactylus,Linnaeus's Two-toed Sloth,,1,5.07,,,0.0282,
Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus parma,Parma Wallaby,,1,3.76,,,0.0174,
Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,Wallabia bicolor,Swamp Wallaby,,1,16.4,,,0.0327,
Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,Sunda Slow Loris,,1,0.6555,,,0.01274,
Chordata,Mammalia,Primates,Lorisidae,Perodicticus,Perodicticus potto,East African Potto,,1,0.92933,,,0.01207,
Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca maura,Moor Macaque,,1,6.846,,,0.09448,
Chordata,Mammalia,Primates,Cebidae,Leontopithecus,Leontopithecus rosalia,Golden Lion Tamarin,,1,0.51238,,,0.01305,
Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta caraya,Black-and-gold Howler Monkey,,1,5.0125,,,0.0507,
Chordata,Mammalia,Primates,Lemuridae,Lemur,Lemur catta,Ring-tailed Lemurs,,1,2.09,,,0.02163,
Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,Erythrocebus patas,Patas Monkey,,1,7.376,,,0.1002,
Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix pygmaea,0,,1,0.13475,,,0.00464,
Chordata,Mammalia,Primates,Lorisidae,Loris,Loris tardigradus,Red Slender Loris,,1,0.322,,,0.006,
Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,Cheirogaleus medius,Western Fat-tailed Dwarf Lemur,,1,0.17967,,,0.00334,
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus spartacus,Bronze Quoll,,1,0.487,,,0.0054908,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Thylamys,Thylamys pallidior,White-bellied Fat-tailed Mouse Opossum,,1,0.0207,,,0.00074592,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus biacensis,Biak Glider,,2,0.0845,,,0.00174048,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus abidi,Northern Glider,,2,0.284,,,0.00396788,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Phalanger,Phalanger rothschildi,Rothschild's Cuscus,,5,1.244,,,0.00636104,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Strigocuscus,Strigocuscus pelengensis,Peleng Cuscus,,7,0.991,,,0.00644392,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Phalanger,Phalanger intercastellanus,Eastern Common Cuscus,,8,1.434,,,0.0076146,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Spilocuscus kraemeri,Manus Island Spotted Cuscus,,7,1.547,,,0.011914,skull filling
Chordata,Mammalia,Peramelemorphia,Peramelidae,Rhynchomeles,Rhynchomeles prattorum,Ceram Island Long-nosed Bandicoot,,1,0.907,,,0.0050764,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale tenuirostris,Narrow-nosed Planigale,,7,0.0039,,,0.00014504,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale ingrami,Long-tailed Planigale,,6,0.0041,,,0.0001554,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale gilesi,Giles' Planigale,,5,0.0061,,,0.00017612,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale maculata,Common Planigale,,10,0.0067,,,0.0002072,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Ningaui,Ningaui ridei,Wongai Ningaui,,1,0.004,,,0.00024864,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Ningaui,Ningaui yvonneae,Mallee Ningaui,,2,0.0078,,,0.00026936,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale novaeguineae,Papuan Planigale,,2,0.0086,,,0.00027972,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis virginiae,Red-cheeked Dunnart,,1,0.0105,,,0.00035224,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis bindi,Kakadu Dunnart,,1,0.0136,,,0.0003626,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis douglasi,Julia Creek Dunnart,,2,0.0171,,,0.0003626,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis crassicaudata,Fat-tailed Dunnart,,20,0.0133,,,0.00037296,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis macroura,Stripe-faced Dunnart,,5,0.017,,,0.0004144,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis hirtipes,Hairy-footed Dunnart,,1,0.009,,,0.00042476,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis leucopus,White-footed Dunnart,,21,0.0124,,,0.00042476,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,Parantechinus roryi,0,,1,0.0166,,,0.00043512,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis murina,Slender-tailed Dunnart,,15,0.0159,,,0.00045584,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,Antechinomys laniger,Kultarr,,9,0.0178,,,0.00048692,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis griseoventer,Grey-bellied Dunnart,,1,0.0198,,,0.00050764,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,Parantechinus macdonnellensis,0,,5,0.024,,,0.00050764,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,Parantechinus rosamondae,0,,4,0.0199,,,0.00055944,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus agilis,Agile Antechinus,,18,0.0221,,,0.00058016,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus bellus,Fawn Antechinus,,4,0.0458,,,0.00065268,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus flavipes,Yellow-footed Antechinus,,17,0.0307,,,0.00066304,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,Parantechinus bilarni,Sandstone False Antechinus,,7,0.0294,,,0.0006734,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus melanurus,Black-tailed Dasyure,,10,0.0258,,,0.0006734,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus subtropicus,Subtropical Antechinus,,9,0.0291,,,0.00074592,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus minimus,Swamp Antechinus,,7,0.0363,,,0.00076664,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus leo,Cinnamon Antechinus,,3,0.0602,,,0.000777,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Brown Antechinus,,21,0.0298,,,0.00078736,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus naso,Western Long-nosed Dasyure,,8,0.0363,,,0.00079772,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale calura,Red-tailed Phascogale,,5,0.0438,,,0.00094276,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus swainsonii,Tasmanian Dusky Antechinus,,13,0.0635,,,0.00112924,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Murexia,Murexia rothschildi,Broad-striped Dasyure,,1,0.062,,,0.0010878,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascolosorex,Phascolosorex dorsalis,Narrow-striped Marsupial Shrew,,6,0.0475,,,0.00114996,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,Parantechinus apicalis,Dibbler,,1,0.0605,,,0.0012432,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasycercus,Dasycercus cristicauda,Crest-tailed Mulgara,,11,0.07,,,0.00128464,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyuroides,Dasyuroides byrnei,Kowari,,13,0.0984,,,0.001554,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Murexia,Murexia longicaudata,Aru Short-furred Dasyure,,2,0.2965,,,0.00174048,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale tapoatafa,Brush-tailed Phascogale,,20,0.15,,,0.00187516,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Myoictis,Myoictis melas,Three-striped Dasyure,,4,0.1311,,,0.0021238,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Neophascogale,Neophascogale lorentzi,Speckled Dasyure,,2,0.2064,,,0.0025382,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus hallucatus,Northern Quoll,,14,0.513,,,0.00350168,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus albopunctatus,New Guinean Quoll,,14,0.403,,,0.00392644,skull filling
Chordata,Mammalia,Dasyuromorphia,Myrmecobiidae,Myrmecobius,Myrmecobius fasciatus,Numbat,,2,0.4054,,,0.004403,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus geoffroii,Western Quoll,,4,0.76,,,0.00535612,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus viverrinus,Eastern Quoll,,26,0.813,,,0.00552188,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus maculatus,Spotted-tailed Quoll,,55,2.599,,,0.00974876,skull filling
Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,Tasmanian Devil,,34,7.43,,,0.01666924,skull filling
Chordata,Mammalia,Dasyuromorphia,Thylacinidae,Thylacinus,Thylacinus cynocephalus,Thylacine,,18,28.496,,,0.05303284,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa elegans,0,,1,0.0201,,,0.00073556,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Thylamys,Thylamys elegans,Elegant Fat-tailed Mouse Opossum,,1,0.025,,,0.00073556,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis brevicaudata,Northern Red-sided Opossum,,1,0.0646,,,0.0009324,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,Mexican Mouse Opossum,,2,0.0467,,,0.001036,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina,Linnaeus's Mouse Opossum,,1,0.06,,,0.0011396,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa rubra,Red Mouse Opossum,,1,0.06,,,0.0012432,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Caluromys,Caluromys derbianus,Derby's Woolly Opossum,,1,0.289,,,0.0035224,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Caluromys,Caluromys philander,Bare-tailed Woolly Opossum,,1,0.277,,,0.003626,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,Guianan Brown Four-eyed Opossum,,1,0.39,,,0.003626,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander opossum,Northern Four-eyed Opossum,,2,0.57,,,0.00396788,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,Virginia Opossum,,1,2.842,,,0.0065786,skull filling
Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,Virginia Opossum,,11,2.797,,,0.00696192,skull filling
Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus concinnus,Western Pygmy Possum,,3,0.0095,,,0.0003108,skull filling
Chordata,Mammalia,Diprotodontia,Acrobatidae,Acrobates,Acrobates pygmaeus,Narrow-toed Feather-tailed Glider,,14,0.0089,,,0.0003626,skull filling
Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus lepidus,Little Pygmy Possum,,3,0.0078,,,0.00037296,skull filling
Chordata,Mammalia,Diprotodontia,Tarsipedidae,Tarsipes,Tarsipes rostratus,Honey Possum,,1,0.009,,,0.00037296,skull filling
Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus nanus,Eastern Pygmy Possum,,3,0.012,,,0.00044548,skull filling
Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus caudatus,Long-tailed Pygmy Possum,,11,0.0193,,,0.00073556,skull filling
Chordata,Mammalia,Diprotodontia,Acrobatidae,Distoechurus,Distoechurus pennatus,Feather-tailed Possum,,8,0.0454,,,0.00097384,skull filling
Chordata,Mammalia,Diprotodontia,Burramyidae,Burramys,Burramys parvus,Mountain Pygmy Possum,,2,0.0366,,,0.001036,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus canescens,Lowland Ring-tailed Possum,,4,0.141,,,0.0018648,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus mayeri,Pygmy Ring-tailed Possum,,9,0.125,,,0.00208236,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus breviceps,Sugar Glider,,20,0.0891,,,0.00216524,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus schlegeli,Vogelkop Ring-tailed Possum,,2,0.246,,,0.0029008,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,Gymnobelideus leadbeateri,Leadbeater's Possum,,2,0.0905,,,0.0029526,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus norfolcensis,Squirrel Glider,,14,0.191,,,0.00312872,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Hemibelideus,Hemibelideus lemuroides,Lemuroid Ring-tailed Possum,,2,0.496,,,0.0032634,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus caroli,Weyland Ring-tailed Possum,,1,0.44,,,0.0033152,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus forbesi,Painted Ring-tailed Possum,,6,0.523,,,0.00348096,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirulus,Pseudochirulus herbertensis,Herbert River Ring-tailed Possum,,3,0.9,,,0.00447552,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Dactylonax,Dactylonax tatei,0,,1,0.252,,,0.0046102,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,Pseudocheirus peregrinus,Common Ring-tailed Possum,,15,0.526,,,0.00468272,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirops,Pseudochirops albertisii,D'Albertis' Ringtail,,3,0.713,,,0.00484848,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,Petauroides volans,Greater Glider,,20,0.9,,,0.00485884,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petropseudes,Petropseudes dahli,Rock Ringtail Possum,,3,2,,,0.005219368,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirops,Pseudochirops coronatus,Reclusive Ringtail,,2,1.5,,,0.00531468,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirops,Pseudochirops corinnae,Plush-coated Ringtail,,8,0.943,,,0.00555296,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus australis,Yellow-bellied Glider,,6,0.39,,,0.00591556,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Dactylonax,Dactylonax trivirgata,0,,12,0.506,,,0.00603988,skull filling
Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudochirops,Pseudochirops archeri,Green Ringtail,,6,0.678,,,0.00608132,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Phalanger,Phalanger lullulae,Woodlark Cuscus,,4,1.4,,,0.00630924,skull filling
Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Potorous platyops,Broad-faced Potoroo,,1,0.8,,,0.0065268,skull filling
Chordata,Mammalia,Diprotodontia,Petauridae,Dactylonax,Dactylonax palpator,Long-fingered Triok,,7,0.474,,,0.00715876,skull filling
Chordata,Mammalia,Diprotodontia,Macropodidae,Lagostrophus,Lagostrophus fasciatus,Banded Hare Wallaby,,1,0.773,,,0.007252,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Phalanger,Phalanger ornatus,Ornate Cuscus,,5,1.448,,,0.00727272,skull filling
Chordata,Mammalia,Diprotodontia,Phalangeridae,Phalanger,Phalanger orientalis,Northern Common Cuscus,,21,1.485,,,0.00763532,skull filling
